city,timestamp,location_id,location,lat,lon,pm2_5,pm10,no2,o3,so2,co,temperature_c,humidity,pressure_hpa,wind_speed_ms,wind_direction,road_count,industrial_count,waste_count,farmland_count,pollution_source,dist_to_industry_km,dist_to_road_km,dist_to_dump_km,hour,day_of_week,day_of_year,month,is_weekend,is_rush_hour,is_dry_season,season
Hyderabad,2026-02-01 06:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2485549132947976,0.1933797909407665,0.0804979253112033,0.0440993788819875,0.0131189083820662,0.1092378752886835,0.0762711864406779,0.9310344827586208,0.1149870801033596,0.3594548551959113,0.3342618384401114,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,6,6,32,2,1,0,1,1
Hyderabad,2026-02-01 07:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2312138728323699,0.1794425087108014,0.075103734439834,0.0456521739130434,0.0123391812865497,0.1039260969976905,0.0889830508474576,0.9195402298850576,0.1253229974160206,0.3969335604770017,0.3676880222841225,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,7,6,32,2,1,1,1,1
Hyderabad,2026-02-01 08:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2514450867052023,0.1951219512195122,0.0775933609958506,0.0434782608695652,0.0127290448343079,0.1161662817551963,0.173728813559322,0.7816091954022988,0.1408268733850128,0.2844974446337308,0.3844011142061281,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,8,6,32,2,1,1,1,1
Hyderabad,2026-02-01 09:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2745664739884393,0.2142857142857143,0.0506224066390041,0.0437888198757763,0.0082456140350877,0.1369515011547344,0.2838983050847459,0.5977011494252873,0.1550387596899227,0.3304940374787052,0.3704735376044568,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,9,6,32,2,1,1,1,1
Hyderabad,2026-02-01 10:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2947976878612716,0.2317073170731707,0.0560165975103734,0.0360248447204968,0.0091228070175438,0.1542725173210161,0.3771186440677966,0.4482758620689654,0.1576227390180875,0.3764906303236797,0.3398328690807799,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,10,6,32,2,1,1,1,1
Hyderabad,2026-02-01 11:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.3208092485549133,0.2508710801393728,0.0609958506224066,0.0313664596273291,0.0099999999999999,0.1658198614318706,0.4364406779661017,0.3448275862068966,0.1550387596899227,0.4616695059625212,0.2813370473537604,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,11,6,32,2,1,0,1,1
Hyderabad,2026-02-01 12:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.3121387283236994,0.2421602787456445,0.0697095435684647,0.0450310559006211,0.0113645224171539,0.1558891454965358,0.4999999999999999,0.2758620689655172,0.14470284237726,0.5008517887563884,0.2757660167130919,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,12,6,32,2,1,0,1,1
Hyderabad,2026-02-01 13:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2988439306358381,0.2334494773519163,0.0946058091286307,0.0437888198757763,0.0154580896686159,0.1519630484988452,0.5254237288135594,0.2528735632183908,0.1291989664082695,0.514480408858603,0.2813370473537604,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,13,6,32,2,1,0,1,1
Hyderabad,2026-02-01 14:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2861271676300578,0.2247386759581881,0.0680497925311203,0.0369565217391304,0.0111111111111111,0.1092378752886835,0.5338983050847458,0.2528735632183908,0.1201550387596892,0.524701873935264,0.2841225626740947,59441,24,6,24,Burning,268.40285466746985,267.62403966634537,269.60269633335275,14,6,32,2,1,0,1,1
Hyderabad,2026-02-01 15:00:00,5623,"Central University, Hyderabad - TSPCB",17.4601,78.33436,0.2398843930635838,0.1881533101045296,0.0663900414937759,0.046583850931677,0.0108187134502923,0.123094688221709,0.5296610169491526,0.2528735632183908,0.1136950904392755,0.4872231686541737,0.2813370473537604,59441,24,6,24,Natural,268.40285466746985,267.62403966634537,269.60269633335275,15,6,32,2,1,0,1,1
